编码,名称,总价,单价,产权信息,建筑面积,户型结构,建筑类型,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域,厅,厨,卫,楼层类型,总层数,东,南,西,北,东南,东北,西南,西北,室
0,马家堡角门南北通透两居室  双阳台 交通便利,399,52897,0,75.43,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,1,1,0,0,0,0,2
1,马家堡角门近地铁 南北通透 格局好 采光充足 配套齐全,416,60203,0,69.1,0,0,1,1,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
2,角门东里，满五唯一，诚心出售，看房方便,377,51202,1,73.63,0,1,0,0,0.25,0,0,1,209,1,1,1,2,19,0,0,0,1,1,0,0,0,2
3,角门 马家堡  角门东里  南向两居室角门东站,387,59723,0,64.8,0,1,0,0,0.25,0,0,1,209,1,1,1,1,19,0,1,0,0,0,0,0,0,2
4,马家堡角门 南北通透 低楼层满五唯一 两居室,305,56587,0,53.9,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
5,角门马家堡 满五唯一 地铁10号线4号线角门西站,330,60999,0,54.1,0,0,1,0,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
6,马家堡角门东司达小区三居室低楼层精装修,398,52286,0,76.12,0,0,1,0,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,3
7,阳光花园角门东马家堡大红门南北两居,680,75564,1,89.99,0,0,0,0,1,0,0,1,209,1,1,1,3,19,0,1,0,1,0,0,0,0,2
8,角门，马家堡，洋桥，满五年唯一正规二居室,403,57245,0,70.4,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
9,洋桥，马家堡，角门东里小区二居室,325,60063,0,54.11,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
10,角门西，地铁4号线10号线，高楼层，采光好,420,58766,0,71.47,0,1,0,1,0.166666667,0,0,1,209,1,1,1,0,18,0,1,0,0,0,0,0,0,2
11,10号线角门东怡然家园全南向两居室中楼层,500,57294,0,87.27,0,0,1,1,0.333333333,1,1,1,209,1,1,1,0,6,0,1,0,0,0,0,0,0,2
12,马家堡 首座绿洲 精装一居 满五唯一 双线地铁,365,58729,0,62.15,0,1,0,0,0.25,0,0,1,209,1,1,1,0,21,0,0,0,1,0,0,0,0,1
13,马家堡 角门 正规三居带客厅  商品房 无遮挡 采光好,470,55191,0,85.16,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,3
14,4号线、10号线双地铁  南北通透 满五年唯一 必看好房,375,50141,0,74.79,0,0,1,1,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,3
15,马家堡 角门 角门东里 高楼层精装修 满五年唯一,463,51076,1,90.65,0,1,0,0,0.25,0,0,1,209,1,1,1,2,19,0,0,0,1,0,0,1,0,3
16,10号线角门东怡然家园大三居南北通透商品房诚心卖,745,55689,0,133.78,0,0,0,1,0.5,1,0,1,209,1,1,2,0,16,0,1,0,1,0,0,0,0,3
17,马家堡角门此房满五年家庭名下唯一住房低楼层采光好。,418,61525,0,67.94,0,0,1,1,0.5,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,3
18,马家堡 角门 南北通透大三居 中间楼层 满五年唯一住房,750,56673,0,132.34,0,2,0,1,0.5,1,0,1,209,1,1,2,0,11,0,1,0,1,0,0,0,0,3
19,马家堡 大红门35号院 南北朝向 正规两居,240,36370,0,65.99,0,0,1,1,0.333333333,0,1,1,209,1,1,1,5,6,0,1,0,1,0,0,0,0,2
20,司达小区3居，南北通透，2层/6层,319,56005,0,56.96,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,1,1,0,1,0,0,0,0,3
21,10号线角门东怡然家园6号院带电梯商品房两居室诚心卖,316,58368,0,54.14,0,0,1,1,0.25,1,0,1,209,1,1,1,2,6,1,0,1,1,0,0,0,0,2
22,满五年，双地铁，4号线和10号线,259,44942,1,57.63,0,1,0,1,0.166666667,0,0,1,209,1,1,1,4,18,0,0,1,0,0,0,0,0,1
23,4+10号线角门西地铁，全南向两居室，无遮挡，采光好,510,56373,0,90.47,0,2,0,0,0.25,0,0,1,209,1,1,1,2,15,0,1,0,0,0,0,0,0,2
24,10号线角门东大红门35号院低楼层两居室商品房诚心售,360,53350,0,67.48,0,0,1,0,0.5,0,1,1,209,1,1,1,1,6,1,0,1,0,0,0,0,0,2
25,康缘居 南北通透 两居室 带电梯 楼龄新 房本满五年,455,50924,0,89.35,0,0,0,1,0.222222222,0,0,1,209,1,1,1,0,14,0,1,0,1,0,0,0,0,2
26,西马场路6号院 有钥匙商品房 诚意出售,570,50479,0,112.92,0,0,0,1,0.333333333,1,0,1,209,1,1,1,0,14,0,1,0,1,0,0,0,0,2
27,角门东里 满五唯一 诚心出售 10号线4号线角门西地铁,447,52601,0,84.98,0,1,0,0,0.166666667,0,0,1,209,1,1,1,0,18,0,0,0,0,0,1,0,0,2
28,马家堡角门 低楼层 西南两居 交通便利,310,60547,0,51.2,0,0,1,1,0.333333333,0,1,1,209,1,1,1,4,6,0,0,0,0,0,0,1,0,2
29,角门 洋桥 角门东里 满五 全明格局,335,56021,0,59.8,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
30,马家堡  角门  精装修  复式格局  南北通透  近地铁,460,69877,0,65.83,1,0,1,0,0.5,0,1,1,209,2,1,2,3,6,0,1,0,1,0,0,0,0,3
31,房子满五年唯一，精装修，近地铁，交通便利，楼龄新,608,60552,0,100.41,0,2,0,0,0.25,0,0,1,209,1,1,1,4,14,0,1,0,1,0,0,0,0,2
32,角门，阳光花园，人车分流，南北通透全明格局,1050,75698,0,138.71,0,0,0,1,1,0,0,1,209,1,1,2,2,19,0,1,0,1,0,0,0,0,3
33,角门甲4号院 精装修 南向采光无遮挡 近地铁10号线诚售,280,65011,0,43.07,0,0,1,0,0.333333333,0,1,1,209,1,1,1,0,6,0,1,0,0,0,0,0,0,1
34,马家堡商圈 角门东里 南北通透 满五年唯一 近10号线,329,62667,0,52.5,0,0,1,0,0.5,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,2
35,角门马家堡大红门精装复式怡然家园6号院,999,53142,1,187.99,1,2,0,0,0.5,1,0,1,209,2,1,2,3,11,0,1,0,1,0,0,0,0,3
36,大红门 西马场北里 南北通透两居室 满五唯一,339,62778,0,54,0,0,1,1,0.333333333,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,2
37,诚心出售 10号线角门东/4号线角门西地铁  角门东里,330,57292,0,57.6,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
38,洋桥 角门 马家堡 复式三居 满五唯一 南北通透近地铁,572,59858,0,95.56,1,0,1,0,0.5,0,1,1,209,2,1,2,3,6,0,1,0,1,0,0,0,0,3
39,马家堡 枫南世嘉 满五年，电梯，采光好，格局方正,580,56278,0,103.06,0,2,0,1,0.333333333,0,0,1,209,1,1,1,1,14,0,1,1,0,0,0,0,0,3
40,10号线马家堡角门东怡然家园满五唯一南北通透三居室,680,54188,0,125.49,0,0,0,0,0.5,1,0,1,209,1,1,2,4,11,0,1,0,1,0,0,0,0,3
41,精装修南北三居室，诚意出售，看房方便,458,55435,1,82.62,0,0,1,0,0.333333333,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,3
42,角门 西马小区  南北通透 正规三居 带客厅 采光充足,468,54956,0,85.16,0,0,1,0,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,3
43,角门甲4号院 南北低楼层 视野开阔,330,59643,0,55.33,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
44,怡然家园6号院精装修大客厅复式  无遮挡无浪费,645,55503,0,116.21,1,0,1,0,0.333333333,1,1,1,209,1,1,2,0,6,0,1,0,0,0,0,0,0,2
45,首座绿洲 南向 三居室 中间层 采光好,780,61423,0,126.99,0,1,0,0,0.25,0,0,1,209,1,1,2,0,21,0,1,0,0,0,0,0,0,3
46,满五唯一，电梯，公摊小，户型好,892,53986,0,165.23,1,0,1,1,0.333333333,1,1,1,209,3,1,2,2,7,0,1,0,1,0,0,0,0,4
47,马家堡 10号线角门东  正规两居室  南北通透 不临街,420,55748,0,75.34,0,0,1,1,0.333333333,1,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
48,司达小区，马家堡角门，不临街，满五唯一。,351,52950,0,66.29,0,0,1,1,0.25,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
49,马家堡 角门 角门东里 南北两居 值得一看,289,48490,0,59.6,0,0,1,2,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
50,南北通透无遮挡，采光好，视野佳，人车分流,685,78367,0,87.41,0,0,0,1,0.666666667,0,0,1,209,1,1,1,0,19,0,1,0,1,0,0,0,0,2
51,马家堡 角门 角门东里 大两居,410,55684,0,73.63,0,1,0,1,0.25,0,0,1,209,1,1,1,1,19,1,1,0,1,0,0,0,0,2
52,司达小区 全南向两居室 采光好,278,55050,0,50.5,0,0,1,0,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,0,0,0,0,0,2
53,马家堡，角门正规两居，东南角，中间层，精装修,320,62955,0,50.83,0,1,1,0,0.2,0,1,1,209,1,1,1,0,6,0,0,0,0,1,0,0,0,2
54,角门东马家堡大红门洋桥一居室，户型方正，采光好,298,51710,0,57.63,0,1,0,1,0.166666667,0,0,1,209,1,1,1,0,18,1,0,1,0,0,0,0,0,1
55,角门东里 正规南北通透三居 双地铁10号线和4号线,420,60958,0,68.9,0,0,1,0,0.5,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,3
56,此房是满五不唯一商品房，全朝南,420,62473,1,67.23,0,2,0,0,0.25,0,0,1,209,1,1,1,4,14,0,1,0,0,0,0,0,0,1
57,马家堡 角门精装修低楼层一居室,268,62038,0,43.2,0,0,1,0,0.333333333,0,1,1,209,1,1,1,1,6,1,0,0,0,0,0,0,0,1
58,10号线4号线双地铁 中间楼层 南向 采光好 诚意出售,318,69707,0,45.62,0,0,1,0,0.333333333,1,1,1,209,1,1,1,0,7,0,1,0,0,0,0,0,0,1
59,杏林园 正规一居室 南北通透 周边配套齐全,350,54594,0,64.11,0,1,0,1,0.166666667,0,0,1,209,1,1,1,2,18,0,1,0,1,0,0,0,0,1
60,角门甲8号院  满五年唯一 大一居室,368,51824,0,71.01,0,1,0,0,0.25,0,0,1,209,1,1,1,1,21,0,0,0,0,0,0,0,1,1
61,角门东里 2室1厅 南 北,313,54721,1,57.2,0,0,1,0,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
62,10号线马家堡角门东大红门35号院全南一居室满五唯一,275,54716,0,50.26,0,0,1,1,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,0,0,0,0,0,1
63,马家堡大红门角门10号线角门东地铁南北通透户型方正,655,58285,0,112.38,0,0,1,0,0.333333333,1,1,1,209,1,1,2,0,6,0,1,0,1,0,0,0,0,3
64,满5唯一   诚心出售   电梯房,375,48425,0,77.44,0,1,0,0,0.166666667,0,0,1,209,1,1,1,0,18,0,0,1,0,0,0,0,0,2
65,角门东里 正规三居室 南北通透 随时签约,390,50650,0,77,0,0,1,1,0.333333333,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,3
66,马家堡 洋桥 角门 低楼层 一居室 精装修,290,76924,0,37.7,0,0,1,0,0.333333333,0,1,1,209,1,1,1,4,6,0,1,0,0,0,0,0,0,2
67,角门东里，精装修，两居室，双地铁,405,52326,0,77.4,0,1,0,0,0.166666667,0,0,1,209,1,1,1,1,18,1,0,0,0,0,0,0,0,2
68,马家堡角门东里  南北通透低楼层  交通便利,410,61562,0,66.6,0,0,1,1,0.333333333,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,3
69,经理推荐角门东里南北向采光好两居室,297,52225,0,56.87,0,0,1,1,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
70,马家堡 大红门 两居室 2000年后配套齐全,465,58869,0,78.99,0,0,1,1,0.333333333,0,1,1,209,1,1,1,4,6,0,1,0,0,0,0,0,0,2
71,10号线角门东35号院四百多万小三居商品房诚心卖,438,50213,0,87.23,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,1,0,1,0,0,0,0,0,3
72,马家堡甲120号院 三居室 户型方正 南北通透,465,71254,0,65.26,0,0,1,1,0.5,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,3
73,马家堡角门两居室，近地铁，满五唯一,320,57338,0,55.81,0,0,1,0,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
74,马家堡角门全南向两居室满五唯一,275,54456,0,50.5,0,0,1,1,0.333333333,0,1,1,209,1,1,1,2,6,0,1,0,0,0,0,0,0,2
75,大红门35号院 南北通透 视野好 2001年板楼社区,435,54876,0,79.27,0,0,1,1,0.5,0,1,1,209,1,1,1,3,5,0,1,0,1,0,0,0,0,2
76,东向正规一居室 精装修 采光好,280,49392,1,56.69,0,1,0,0,0.142857143,0,0,1,209,1,1,1,1,18,1,0,0,0,0,0,0,0,1
77,角门路1号院 南北通透 采光亮,399,57818,0,69.01,0,0,1,1,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,3
78,马家堡商圈 南北通透两居室 大客厅 随时签约 诚售,450,50364,0,89.35,0,0,0,0,0.222222222,0,0,1,209,1,1,1,1,14,0,1,0,1,0,0,0,0,2
79,马家堡 角门 大红门正规两居室东西方正格局出售,338,54306,0,62.24,0,0,1,1,0.333333333,0,1,1,209,1,1,1,1,6,1,0,1,0,0,0,0,0,2
80,马家堡角门地铁10号线      两居,390,52968,0,73.63,0,1,1,1,0.25,0,0,1,209,1,1,1,1,19,0,1,0,0,0,0,0,1,2
81,两居室，精装修 角门东里小区 无遮挡,308,61898,0,49.76,0,0,1,1,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,0,0,0,1,0,2
82,正规2居室，业主诚心出售有电梯 4+10号线角门西站,452,57912,0,78.05,0,1,0,0,0.142857143,0,0,1,209,1,1,1,1,18,0,1,0,0,0,0,0,0,2
83,司达小区东南向两居室 满五年唯一,275,46297,0,59.4,0,0,1,1,0.2,0,1,1,209,1,1,1,3,6,0,0,0,0,1,0,0,0,2
84,马家堡角门 东西通透 近地铁 绿化好 物业好,299,54364,0,55,0,0,1,0,0.5,0,1,1,209,1,1,1,2,6,1,0,1,0,0,0,0,0,2
85,马家堡67号院，角门东地铁，正规一居。,295,52038,0,56.69,0,1,0,1,0.142857143,0,0,1,209,1,1,1,0,18,1,0,0,0,0,0,0,0,1
86,大红门35号院 精装修 南北通透三居室 板楼中间楼层,498,62321,0,79.91,0,0,1,0,0.333333333,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,3
87,马家堡角门2居室，精装修婚房，看房方便，近地铁。,338,52322,0,64.6,0,2,0,0,0.333333333,0,0,1,209,1,1,1,1,14,1,0,0,0,0,0,0,0,2
88,10号线角门东怡然家园上下复式四居室商品房诚心卖,899,54360,0,165.38,1,0,1,0,0.333333333,1,1,1,209,2,1,2,3,6,0,1,0,1,0,0,0,0,4
89,满5唯一  98年电梯房  诚心出售,455,53543,0,84.98,0,1,0,0,0.166666667,0,0,1,209,1,1,1,1,18,1,0,0,0,0,0,0,1,2
90,马家堡 枫南世嘉 电梯两居室无遮挡方正,430,57487,0,74.8,0,2,0,0,0.333333333,0,0,1,209,1,1,1,1,14,0,0,0,1,0,0,0,0,2
91,怡然家园6号院 角门东地铁站 地铁10号线,649,57700,1,112.48,0,0,1,1,0.333333333,1,1,1,209,1,1,2,0,7,0,1,0,1,0,0,0,0,3
92,马家堡67号院  朝东向 正规一居室 满五唯一,280,49392,0,56.69,0,1,0,1,0.142857143,0,0,1,209,1,1,1,0,18,1,0,0,0,0,0,0,0,1
93,角门 洋桥 角门东里 一居室 采光好,278,72661,0,38.26,0,0,1,0,0.333333333,0,1,1,209,1,1,1,0,6,0,0,0,0,0,0,1,0,1
94,角门东里 南北通透，采光充足，配套齐全，交通便利,383,55468,0,69.05,0,0,1,0,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,3
95,角门2号院南北通透 采光好 视野好,419,54522,0,76.85,0,2,0,1,1,0,0,1,209,1,1,1,0,14,0,1,0,1,0,0,0,0,2
96,南北通透视野宽阔采光充足，配套齐全西马小区满五唯一,287,55902,0,51.34,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,1
97,马家堡角门 商圈 司达小区10号线精装修两居室诚心出售,295,50428,1,58.5,0,0,1,0,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
98,正规一居室，户型方正，配套齐全交通便利,358,51975,0,68.88,0,2,0,1,0.25,0,0,1,209,1,1,1,1,14,1,0,0,1,0,0,0,0,1
99,10号线角门东地铁 司达小区 满五年一,335,56483,0,59.31,0,0,1,0,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
100,司达小区 东西通透两居室 诚意出售,275,45682,0,60.2,0,0,1,0,0.5,0,1,1,209,1,1,1,3,6,1,0,1,0,0,0,0,0,2
101,马家堡阳光花园中高楼层精装修两室,680,73809,0,92.13,0,0,0,0,1,0,0,1,209,1,1,1,0,19,0,1,0,1,0,0,0,0,2
102,地铁10号线角门东站，南北通透两居室，诚意出售,300,49060,0,61.15,0,0,1,1,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
103,角门东里 南北两居室 采光通风好,330,56219,1,58.7,0,0,1,0,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
104,马家堡，角门，洋桥，朝南精装两居室，交通便利,316,58956,0,53.6,0,0,1,0,0.333333333,0,1,1,209,1,1,1,2,6,1,1,0,0,0,0,0,0,2
105,马家堡 洋桥 角门东里 南北正规两居,315,55070,0,57.2,0,0,1,0,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
106,马家堡洋桥角门  杏林园 精装修两居室,450,59746,0,75.32,0,1,0,0,0.166666667,0,0,1,209,1,1,1,1,18,0,0,0,0,0,0,1,0,2
107,马家堡角门大红门两居室诚心出售,305,53322,0,57.2,0,0,1,0,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
108,洋桥 角门05年商品房两居室 满五唯一,499,57728,0,86.44,0,1,0,1,0.25,0,0,1,209,1,1,1,3,21,0,0,0,0,1,0,0,0,2
109,南三环外  首座绿洲   电梯一居正对小区花园,355,57370,0,61.88,0,1,0,0,0.25,0,0,1,209,1,1,1,1,21,0,0,0,1,0,0,0,0,1
110,地铁角门东站 司达小区 带电梯 两居室,360,55728,0,64.6,0,2,0,1,0.333333333,0,0,1,209,1,1,1,2,14,1,0,1,0,0,0,0,0,2
111,角门东里 满五唯一 10号线角门西/角门东地铁 诚心出售,345,59896,0,57.6,0,0,1,0,0.333333333,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
112,马家堡 角门  南北通透两居室  中间楼层 老少皆宜,536,64837,0,82.67,0,0,1,1,0.5,0,1,1,209,1,1,1,0,5,0,1,0,1,0,0,0,0,2
113,马家堡角门正规1居室，双地铁，满五年，配套齐全。,275,47719,0,57.63,0,1,0,0,0.166666667,0,0,1,209,1,1,1,4,18,1,0,0,0,0,0,0,0,1
114,大红门35号院满二年的商品房，无遮挡 看房方便,478,57480,0,83.16,0,0,1,0,0.333333333,0,1,1,209,1,1,1,1,6,0,1,0,1,0,0,0,0,2
115,必看好房10号线角门东地铁 复式格局 满五年唯一商品房,458,50137,0,91.35,1,0,1,0,0.333333333,1,1,1,209,1,1,2,2,7,0,1,0,0,0,0,0,0,2
116,马家堡 角门 正规两居 南北通透 满五年唯一 业主诚售,330,52885,0,62.4,0,0,1,1,0.25,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
117,角门 大红门 马家堡 西北向一居    满五年,338,51135,0,66.1,0,1,0,1,0.25,0,0,1,209,1,1,1,2,21,0,0,0,0,0,0,0,1,1
118,杏林园 马家堡 角门 洋桥 精装两居室,430,51920,0,82.82,0,1,0,0,0.166666667,0,0,1,209,1,1,1,1,18,0,0,0,0,1,0,0,0,2
119,角门 马家堡 大红门南北通透 精装修一居室,304,55791,0,54.49,0,0,1,0,0.5,0,1,1,209,1,1,1,4,5,0,1,0,1,0,0,0,0,1
120,角门东里 南北通透两居 近地铁,310,52722,0,58.8,0,0,1,0,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
121,马家堡 角门 正规一居室 配套齐全 生活方便,330,50645,0,65.16,0,1,0,1,0.25,0,0,1,209,1,1,1,0,21,0,0,0,0,0,0,0,1,1
122,洋桥 角门东里 两居室  带电梯 地铁10号线 全明格局,395,53647,0,73.63,0,1,0,0,0.25,0,0,1,209,1,1,1,1,19,0,0,0,1,0,0,1,0,2
123,洋桥 角门东里  2居室  中间楼层 带电梯,380,60655,0,62.65,0,1,0,1,0.25,0,0,1,209,1,1,1,0,19,1,0,0,0,0,0,0,0,2
124,角门东马家堡大红门洋桥一居室，户型方正，采光好,290,50322,0,57.63,0,1,0,1,0.166666667,0,0,1,209,1,1,1,0,18,0,0,1,0,0,0,0,0,1
125,满五年且家庭只有这一套房，东向无遮挡采光视野好！,275,48510,0,56.69,0,1,0,1,0.142857143,0,0,1,209,1,1,1,1,18,1,0,0,0,0,0,0,0,1
126,人车分流商品房社区，南向小户型，干净整洁,340,73498,0,46.26,0,0,0,0,0.666666667,0,0,1,209,0,1,1,4,18,0,1,0,0,0,0,0,0,1
127,阳光花园首套首付128万既得，全明格局2梯3户满五唯一,323,69151,0,46.71,0,0,0,1,0.666666667,0,0,1,209,0,1,1,1,19,1,0,0,1,0,0,0,0,1
128,东向大两居  户型方正 精装修 业主诚心出售,545,49722,0,109.61,0,2,0,0,0.25,0,0,1,209,1,1,1,4,14,1,0,0,0,0,0,0,0,2
129,角门东里带电梯全明格局通透两居,410,48247,1,84.98,0,1,0,1,0.166666667,0,0,1,209,1,1,1,1,18,0,0,0,0,0,0,0,1,2
130,阳光花园 中间楼层 南向 开间,345,74579,0,46.26,0,0,0,0,0.666666667,0,0,1,209,0,1,1,0,19,0,1,0,0,0,0,0,0,1
131,正规三居室 东南朝向 高楼层视野好 户型方正,650,58787,1,110.57,0,1,0,1,0.166666667,0,0,1,209,1,1,1,2,18,0,0,0,0,1,0,0,0,3
132,角门东里两居南北通透格局配套设施齐全,250,43707,0,57.2,0,0,1,1,0.5,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
133,角门东 马家堡 小户型正规两居室,337,56487,0,59.66,0,0,1,1,0.333333333,0,1,1,209,1,1,1,0,6,1,0,0,0,0,0,0,0,2
134,角门东里 近地铁 带电梯2居 看房方便,360,57463,0,62.65,0,1,0,1,0.25,0,0,1,209,1,1,1,1,19,0,0,1,0,0,0,0,0,2
135,马家堡角门 南北通透 明窗客厅 近地铁 绿化好 物业好,349,53016,0,65.83,0,0,1,1,0.333333333,0,1,1,209,1,1,1,3,6,0,1,0,1,0,0,0,0,2
136,10号线角门东地铁 2010年小区阳光花园 诚心出售,443,74908,1,59.14,0,0,0,0,0.5,0,0,1,209,1,1,1,1,19,0,0,0,0,1,0,0,0,1
137,角门地铁，低楼层的南北通透的二居室,399,59402,0,67.17,0,0,1,1,0.5,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,2
138,怡然家园6号院 商品房  看房方便,400,49080,0,81.5,0,0,0,1,0.5,1,0,1,209,1,1,1,1,16,1,0,0,1,0,0,0,0,2
