编码,名称,总价,单价,产权信息,建筑面积,户型结构,建筑类型,建筑结构,装修,梯户比,供暖,电梯,区域,具体区域,厅,厨,卫,楼层类型,总层数,东,南,西,北,东南,东北,西南,西北,室
139,角门东里 近地铁 南北通透 采光充足,398,57598,1,69.1,0,0,1,1,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,3
140,怡然家园5号院 3室2厅 南 北,750,59416,0,126.23,4,0,1,1,0.5,1,1,1,209,2,1,2,0,6,0,1,0,1,0,0,0,0,3
141,首座绿洲 1室1厅 北,360,58084,0,61.98,0,1,0,1,0.25,0,0,1,209,1,1,1,0,21,0,0,0,1,0,0,0,0,1
142,角门小区双地铁角门西站精装修两居,398,51395,0,77.44,0,1,0,2,0.166666667,0,0,1,209,1,1,1,3,18,0,0,1,0,0,0,0,0,2
143,南北通透格局，带电梯，交通便利，4号10号双地铁,410,53351,1,76.85,0,2,0,1,1,0,0,1,209,1,1,1,0,14,0,1,0,1,0,0,0,0,2
144,洋桥 角门 马家堡 角门东里 不临街,316,55053,0,57.4,0,0,1,0,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
145,马家堡 角门 复式，上下层各有一个带燃气厨房 带电梯,880,46488,0,189.3,4,0,0,1,0.333333333,1,0,1,209,2,2,2,2,14,0,1,0,1,0,0,0,0,5
146,马家堡 10号线角门东地铁  大复式 诚意出售看房方便,890,48182,0,184.72,4,0,0,0,0.5,1,0,1,209,2,1,3,3,11,0,1,0,1,0,0,0,0,4
147,阳光花园南北2居，马家堡商圈地铁10号线角门东站,778,76726,0,101.4,0,0,0,0,0.333333333,0,0,1,209,1,1,1,2,12,0,1,0,1,0,0,0,0,2
148,10号线角门东  大复式带电梯 满五年唯一商品房 急售,889,47666,0,186.51,4,0,1,1,0.333333333,1,0,1,209,2,1,2,2,7,0,0,1,0,1,0,0,0,5
149,角门西电梯一室 看房随时 户型好,295,51189,0,57.63,0,1,0,1,0.166666667,0,0,1,209,1,1,1,1,18,0,0,1,0,0,0,0,0,1
150,马家堡商圈 首座绿洲 三居出售 正对小区花园,560,55064,0,101.7,0,1,0,0,0.25,0,0,1,209,1,1,1,4,21,0,0,0,0,0,0,1,0,3
151,司达小区 马家堡商圈  南北通透两居室 产权清晰,335,56483,0,59.31,0,0,1,1,0.5,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,2
152,角门 阳光花园 中间楼层正规两居室,680,77795,0,87.41,0,0,0,1,0.666666667,0,0,1,209,1,1,1,0,19,0,1,0,1,0,0,0,0,2
153,马家堡大红门10号线角门东地铁  正规两居室 环境幽美,440,56002,0,78.57,0,0,1,1,0.333333333,1,1,1,209,1,1,1,2,6,0,0,0,0,1,0,0,0,2
154,京华苑 2室1厅 西南,546,54820,0,99.6,4,1,0,1,0.25,0,0,1,209,1,1,1,0,20,0,0,0,0,0,0,1,0,2
155,角门东里 2室1厅 东 西,350,63166,0,55.41,4,0,1,2,0.333333333,0,1,1,209,1,1,1,3,6,1,0,1,0,0,0,0,0,2
156,南北通透正规两居室，户型方正，业主诚心出售,399,51920,0,76.85,0,2,0,1,1,0,0,1,209,1,1,1,4,14,0,1,0,1,0,0,0,0,2
157,怡然家园6号院，二层无遮挡 无浪费,660,58678,0,112.48,0,0,1,0,0.333333333,1,1,1,209,1,1,2,1,7,0,1,0,1,0,0,0,0,3
158,角门甲8号院 1室1厅 西北,336,51566,0,65.16,4,1,0,1,0.25,0,0,1,209,1,1,1,0,21,0,0,0,0,0,0,0,1,1
159,大红门西路35号 中间层 两居室看房方便,368,49610,0,74.18,0,0,1,1,0.5,0,1,1,209,1,1,1,0,6,1,0,1,0,0,0,0,0,2
160,10号线角门东大红门南北通透双卫生间三居室诚心出售,718,54267,0,132.31,0,2,0,1,0.5,1,0,1,209,2,1,2,1,11,0,1,0,1,0,0,0,0,3
161,角门东里 南北通透两居 近地铁,320,55945,0,57.2,0,0,1,1,0.5,0,1,1,209,1,1,1,2,6,0,1,0,1,0,0,0,0,2
162,马家堡 洋桥 角门 大红门 东南向两居格局好业主诚心卖,455,52018,0,87.47,4,1,0,1,0.25,0,0,1,209,1,1,1,0,21,0,0,0,0,0,0,1,0,2
163,大红门西马场北里，南北三室通风好,320,56538,0,56.6,0,0,2,0,0.333333333,0,1,1,209,1,1,1,0,6,0,1,0,1,0,0,0,0,3
164,首座绿洲  正规三居  三个卧室都朝南 户型好,850,66935,0,126.99,0,1,0,1,0.25,0,0,1,209,1,1,2,2,21,0,1,0,0,0,0,0,0,3
165,洋桥 角门一层大住宅 满五唯一,1200,89140,0,134.62,0,1,0,1,0.25,0,0,1,209,1,1,2,4,21,0,1,0,0,0,0,0,0,3
166,角门甲4号院 南北通透 一层 诚心出售,440,68059,0,64.65,0,0,1,1,0.5,0,1,1,209,1,1,1,4,6,0,1,0,1,0,0,0,0,2
167,马家堡角门，出小区角门东地铁，可等满五年唯一时过户,436,79942,0,54.54,0,0,0,1,0.5,0,0,1,209,1,1,1,2,16,0,0,0,0,1,0,0,0,1
168,临近地铁人车分流商品房社区，南向小户型，采光好！,328,76815,0,42.7,0,0,0,1,0.5,0,0,1,209,0,1,1,4,16,0,1,0,0,0,0,0,0,1
169,东风南里 1室1厅 南 北,89,20446,0,43.53,0,0,2,1,0.333333333,0,1,8,161,1,1,1,0,5,0,1,0,1,0,0,0,0,1
170,东风北里商品房两居室，中间楼层，出行方便，采光充足,90,20690,0,43.5,0,0,2,1,0.333333333,0,1,8,161,1,1,1,0,4,0,1,0,1,0,0,0,0,2
171,满五年。精装修。南北通透，价格合适。近公园,105,18173,1,57.78,0,0,1,0,0.25,0,1,8,161,1,1,1,3,5,0,1,0,1,0,0,0,0,2
172,迎风一里 2室1厅 南 北,110,18173,0,60.53,0,4,3,2,0.333333333,2,2,8,161,1,1,1,1,6,0,1,0,1,0,0,0,0,2
173,高家坡社区3-1-1-1 75.33平方米。南北通透,140,18585,0,75.33,0,0,2,0,0.333333333,0,1,8,161,1,1,1,0,6,0,1,0,1,0,0,0,0,3
174,南北通透两居室 低楼层 出行方便,119,19933,0,59.7,0,3,1,0,0.25,0,1,8,161,1,1,1,1,6,0,1,0,1,0,0,0,0,2
175,满五年唯一，中等装修，南北通透。近医院，不临街。,118,20209,0,58.39,0,0,2,1,0.333333333,0,2,8,161,1,1,1,0,5,0,1,0,1,0,0,0,0,3
176,迎风四里 2室1厅 东,125,23339,0,53.56,0,0,1,1,0.333333333,0,2,8,161,1,1,1,0,6,1,0,0,0,0,0,0,0,2
177,燕山迎风四里 两居室 中间楼层 看房方便,103,17677,0,58.27,0,0,1,1,0.333333333,0,1,8,161,1,1,1,0,6,1,0,1,0,0,0,0,0,2
178,迎风四里 2室1厅 南 北,121,20374,1,59.39,0,4,3,1,0.333333333,2,2,8,161,1,1,1,0,5,0,1,0,1,0,0,0,0,2
179,迎风六里 中间楼层 楼下车站 超市 菜市场,110,19853,0,55.41,0,0,2,1,0.333333333,0,1,8,161,1,1,1,0,6,0,1,0,0,0,0,0,0,2
180,迎风五里 3室1厅 南 北,129,17750,0,72.68,0,0,2,0,0.25,0,1,8,161,1,1,1,3,5,0,1,0,1,0,0,0,0,3
181,迎风四里 2室1厅 南 北,130,23136,0,56.19,0,4,3,2,0.333333333,2,2,8,161,1,1,1,0,5,0,1,0,1,0,0,0,0,2
182,迎风三里，现代装修。业主自住，随时签约,139,24725,0,56.22,0,0,2,1,0.333333333,0,2,8,161,1,1,1,4,5,0,1,0,1,0,0,0,0,2
183,宏塔社区 1室1厅 南,96,22136,0,43.37,0,0,1,1,0.333333333,0,1,8,161,1,1,1,3,6,0,1,0,0,0,0,0,0,1
184,迎风一里 3室1厅 南 北,115,18727,0,61.41,0,4,1,2,0.333333333,2,2,8,161,1,1,1,3,6,0,1,0,1,0,0,0,0,3
185,满五唯一，南北通透2室2厅业主诚心出售,188,19017,1,98.86,4,0,1,0,0.5,0,2,8,161,2,1,1,4,6,0,1,0,1,0,0,0,0,2
186,东风东里 南北向两居室 满五唯一,93,15367,0,60.52,4,4,3,0,0.5,2,2,8,161,1,1,1,3,6,0,1,0,1,0,0,0,0,2
187,杰辉苑南北朝向3居室无遮挡采光好,198,15164,0,130.58,4,4,3,0,0.5,2,2,8,161,1,1,2,3,6,0,1,0,1,0,0,0,0,3
188,迎风四里 2室1厅 南,115,21868,0,52.59,4,0,2,1,0.333333333,0,1,8,161,1,1,1,3,5,0,1,0,0,0,0,0,0,2
189,迎风二里 南北向三居室 中间楼层,138,18221,0,75.74,0,3,2,1,0.333333333,0,1,8,161,1,1,1,0,6,0,1,0,0,0,0,0,0,3
190,杏花西里 2室1厅 南 北,105,17550,0,59.83,0,0,1,1,0.333333333,2,2,8,161,1,1,1,3,6,0,1,0,1,0,0,0,0,2
191,宏塔社区优质两居室 业主诚心出售,129,21483,0,60.05,0,0,1,1,0.5,0,1,8,161,1,1,1,2,6,0,1,0,1,0,0,0,0,2
192,东风北里 2室1厅 南,96,18029,0,53.25,0,4,1,1,0.333333333,0,1,8,161,1,1,1,0,6,0,1,0,0,0,0,0,0,2
193,迎风五里 2室2厅 南,185,21299,0,86.86,0,0,2,2,0.5,0,2,8,161,2,1,1,0,6,0,1,0,0,0,0,0,0,2
194,迎风六里二区 南北通透两居室 业主诚意出售,170,18742,0,90.71,0,0,0,0,0.5,0,1,8,161,1,1,1,2,6,0,1,0,1,0,0,0,0,2
195,此房满五唯一，南北通透格局，采光通透良好，商品房,95,17629,0,53.89,0,0,1,2,0.25,0,2,8,161,1,1,1,0,5,0,1,0,0,0,0,0,0,2
196,宏塔社区 3室1厅 东 北,155,22018,0,70.4,0,1,3,0,0.333333333,0,0,8,161,1,1,1,3,15,1,0,0,1,0,0,0,0,3
197,羊耳峪里 中楼层 两室一厅  诚意出售,110,19188,0,57.33,0,1,1,1,0.25,0,2,8,161,1,1,1,0,6,0,0,0,0,0,1,0,0,2
198,燕山羊耳峪里满五唯一精装修两居室诚心出售,125,20462,0,61.09,0,3,1,0,0.5,0,1,8,161,1,1,1,0,6,0,1,0,1,0,0,0,0,2
199,羊耳峪里 2室1厅 北 西,105,17674,0,59.41,0,4,3,1,0.25,2,2,8,161,1,1,1,3,6,0,0,1,1,0,0,0,0,2
200,中国铁建原香汇 1室1厅 南,75,14352,0,52.26,4,0,0,2,1,0,2,8,161,0,0,0,3,14,0,1,0,0,0,0,0,0,2
201,中国铁建原香汇 商业 开间 燕山 采光好,55,18231,0,30.17,4,0,0,1,0.090909091,0,2,8,161,0,0,0,0,14,0,1,0,0,0,0,0,0,2
202,杏花西里 2室1厅 南 北,140,23577,0,59.38,4,0,2,2,0.333333333,2,2,8,161,1,1,1,0,6,0,1,0,1,0,0,0,0,2
203,燕山迎风一里  此房南北通透格局，业主诚心出售。,100,18762,0,53.3,4,0,1,1,0.333333333,0,2,8,161,1,1,1,4,5,0,1,0,1,0,0,0,0,2
204,迎风六里一区 2室1厅 南 北,125,21759,0,57.45,4,0,2,1,0.333333333,0,1,8,161,1,1,1,1,6,0,1,0,1,0,0,0,0,2
205,迎风一里南北通透两居室中间楼层诚意出售,98,21939,0,44.67,4,0,2,2,0.333333333,0,1,8,161,1,1,1,0,5,0,1,0,1,0,0,0,0,2
206,燕山迎风二里东西向高楼层一居室,99,20221,0,48.96,4,4,3,2,0.25,2,2,8,161,1,1,1,3,4,1,0,1,0,0,0,0,0,1
207,迎风一里 2室1厅 南,85,18447,0,46.08,4,4,3,1,0.333333333,2,2,8,161,1,1,1,3,5,0,1,0,0,0,0,0,0,2
208,房山杰辉苑 满五唯一商品房 南北向三居室,245,20297,0,120.71,4,4,3,1,0.5,2,2,8,161,1,1,2,3,6,0,1,0,1,0,0,0,0,3
209,羊耳峪北里 2室1厅 南 北,99,16440,0,60.22,4,4,3,2,0.5,2,2,8,161,1,1,1,3,6,0,1,0,1,0,0,0,0,2
210,杏花西里 2室1厅 南 北,118,19812,0,59.56,4,0,2,2,0.333333333,2,2,8,161,1,1,1,1,6,0,1,0,1,0,0,0,0,2
211,杏花西里 南北通透两居 好位置 看房方便 诚意出售,105,17888,0,58.7,4,0,2,1,0.5,0,1,8,161,1,1,1,3,6,0,1,0,1,0,0,0,0,2
212,羊耳峪西区 4.5米挑高  环境优美 南北通透,149,14917,1,99.89,4,0,2,1,0.5,0,2,8,161,2,1,2,3,6,0,1,0,1,0,0,0,0,2
213,杰辉苑 南北大两居 业主诚意出售,184,18138,0,101.45,4,4,3,0,0.5,2,2,8,161,1,1,1,2,6,0,1,0,1,0,0,0,0,2
214,此房满五唯一，普通住宅，两居室，店长推荐。,115,20358,0,56.49,4,4,1,1,0.333333333,0,2,8,161,1,1,1,0,5,0,1,0,1,0,0,0,0,2
215,中国铁建原香汇 2室1厅 西 南,89,14981,0,59.41,4,0,0,2,0.058823529,0,2,8,161,0,0,0,0,14,0,1,1,0,0,0,0,0,3
216,中国铁建原香汇，燕山地商圈地带，周边商业区配套齐全,70,16723,0,41.86,4,0,0,0,0.058823529,0,2,8,161,0,0,0,0,14,0,0,1,0,0,0,0,0,2
217,迎风四里 3室1厅 东 西,103,16880,0,61.02,4,0,1,2,0.333333333,0,2,8,161,1,1,1,3,6,1,0,1,0,0,0,0,0,3
218,中国铁建原香汇 1室1厅 东,68,15877,0,42.83,4,0,0,2,0.058823529,0,2,8,161,0,0,0,0,14,1,0,0,0,0,0,0,0,2
219,商品房满五唯一，中间楼层采光无遮挡,115,22536,0,51.03,4,0,2,0,0.333333333,0,1,8,161,1,1,1,0,5,0,1,0,0,0,0,0,0,2
220,中国铁建原香汇 1室0厅 东,100,19965,0,50.09,4,0,0,2,1,0,2,8,161,0,0,0,3,5,1,0,0,0,0,0,0,0,1
221,羊耳峪里 2室1厅 南,120,19974,0,60.08,4,4,3,2,0.5,2,2,8,161,1,1,1,0,6,0,1,0,0,0,0,0,0,2
222,羊耳峪北里 2室1厅 南 北,135,24022,0,56.2,4,0,1,1,0.333333333,0,2,8,161,1,1,1,4,6,0,1,0,1,0,0,0,0,2
223,商品房，商品房，都可以买中间楼层采光无遮挡，,108,19252,0,56.1,4,0,2,1,0.333333333,0,1,8,161,1,1,1,2,6,0,1,0,0,0,0,0,0,2
224,商品房  看房方便  无遮挡中楼层,99,20812,0,47.57,4,0,1,1,0.25,0,1,8,161,1,1,1,0,5,1,0,1,0,0,0,0,0,2
225,此房屋精装修，高楼层采光无遮挡，可拎包入住,122,18488,0,65.99,4,0,2,2,0.333333333,0,1,8,161,1,1,1,3,5,0,1,0,1,0,0,0,0,2
226,杏花东里社区南北通透两居室采光通风好,104,17334,0,60,4,0,1,0,0.5,0,1,8,161,1,1,1,3,6,0,1,0,1,0,0,0,0,2
227,高家坡社区 南北通透两居 115万可议价,112,18955,0,59.09,4,0,2,1,0.333333333,0,1,8,161,1,1,1,2,6,0,1,0,1,0,0,0,0,2
228,羊耳峪里 2室1厅 南 北,110,18432,0,59.68,4,0,3,1,0.333333333,0,1,8,161,1,1,1,0,6,0,1,0,1,0,0,0,0,2
229,杰辉苑 2室1厅 南 北,190,19518,0,97.35,4,0,0,1,0.5,0,1,8,161,1,1,1,2,6,0,1,0,1,0,0,0,0,2
230,羊耳峪里 正规客厅 两居室 楼层三层 商品房 看房方便,118,19310,1,61.11,4,0,2,0,0.5,0,1,8,161,1,1,1,0,6,0,1,0,1,0,0,0,0,2
231,羊耳峪里 2室1厅 南 北,106,17738,0,59.76,4,4,3,2,0.5,2,2,8,161,1,1,1,2,6,0,1,0,1,0,0,0,0,2
232,宝汇苑 满五年 带电梯正规大客厅一居室,319,60031,0,53.14,0,1,1,1,0.181818182,0,0,1,207,1,1,1,1,24,0,0,0,0,0,0,1,0,1
233,西罗园 带电梯 满五年 南北向 诚意出售,480,59070,0,81.26,0,1,0,1,0.25,0,0,1,207,1,1,1,1,24,0,1,0,1,0,0,0,0,3
234,洋桥 木樨园 南三环内 西罗园二区 南向一居 随时看房,302,57025,0,52.96,0,2,0,0,0.125,0,0,1,207,1,1,1,0,14,0,1,0,1,0,0,0,0,1
235,三环内无遮挡正规带客厅一居室 采光好 居住舒适方便看,356,56347,0,63.18,0,1,1,1,0.181818182,0,0,1,207,1,1,1,1,24,0,0,0,0,1,0,0,0,1
236,西罗园四路通南北向三区出行方便满五年,450,42151,1,106.76,0,2,0,1,0.5,0,1,1,207,1,1,1,1,12,0,1,0,1,0,0,0,0,3
237,宝汇苑 南中轴 木樨园 带大平台,610,65564,0,93.04,0,1,0,0,0.181818182,0,0,1,207,1,1,1,3,24,0,1,1,1,0,0,0,0,2
238,京品小区洋桥大红门 三居室看房方便,755,60765,0,124.25,0,2,0,1,0.333333333,0,0,1,207,1,1,2,1,15,0,1,0,1,0,0,0,0,3
239,南三环内 南北通透三居，全明格局，双卫双阳台,620,62350,0,99.44,0,1,0,1,0.333333333,0,0,1,207,1,1,2,0,26,0,0,0,1,0,0,1,0,3
240,西罗园 洋桥 马家堡 南北通透 正规两居室 诚意出售,308,48704,0,63.24,0,0,1,1,0.5,0,1,1,207,1,1,1,3,5,0,1,0,1,0,0,0,0,2
241,中间层正东向一居室，满五唯一方正格局,235,57053,1,41.19,0,0,1,0,0.090909091,0,1,1,207,1,1,1,0,6,1,0,0,0,0,0,0,0,1
242,华润小区正规两居室南北通透户型方正,321,51558,0,62.26,0,0,1,1,0.166666667,0,1,1,207,1,1,1,4,6,0,1,0,1,0,0,0,0,2
243,西罗园南里 南北通透 前后无遮挡采光好 格局方正,330,52141,0,63.29,0,0,1,1,0.166666667,0,1,1,207,1,1,1,1,6,0,1,0,1,0,0,0,0,2
244,南三环西罗园 洋桥 角门 南北通透两居室 户型方正,320,51414,0,62.24,0,0,1,0,0.5,0,1,1,207,1,1,1,2,6,0,1,0,1,0,0,0,0,2
245,京品小区西南两居室诚心出售可以随时签约,620,71677,0,86.5,0,2,0,1,0.333333333,0,0,1,207,1,1,1,2,15,0,0,0,0,0,0,1,0,2
246,西罗园四区，东南向正规两居，客厅带窗,358,57483,0,62.28,0,1,0,1,0.25,0,0,1,207,1,1,1,3,24,0,0,0,0,1,0,0,0,2
247,大红门 西罗园木樨园优质两居室无遮挡通透两居室,286,45333,0,63.09,0,0,1,1,0.166666667,0,1,1,207,1,1,1,3,6,1,0,1,0,0,0,0,0,2
248,西罗园南向精装两居婚房，高楼层视野好，经典小两居,350,60293,0,58.05,0,1,1,0,0.285714286,0,0,1,207,1,1,1,2,24,0,1,0,0,0,0,0,0,2
249,西罗园  精装修，南北通透两居室  有车位,300,52632,0,57,0,0,1,0,0.333333333,0,1,1,207,1,1,1,3,6,0,1,0,1,0,0,0,0,2
250,大红门西罗园华润小区正规一居室诚心出售,232,49383,0,46.98,0,0,1,1,0.166666667,0,1,1,207,1,1,1,2,6,0,1,0,1,0,0,0,0,1
251,西罗园南里 1室0厅 南,260,64151,0,40.53,0,0,1,1,0.333333333,0,1,1,207,0,1,1,0,6,0,1,0,0,0,0,0,0,1
252,华润小区 1996年小区 东西向正规一居室 满五家庭一套,238,50563,0,47.07,0,0,1,1,0.166666667,0,1,1,207,1,1,1,3,6,1,0,1,0,0,0,0,0,1
253,西罗园一区 2室1厅 东南 北,521,63685,0,81.81,0,1,0,1,0.285714286,0,0,1,207,1,1,1,2,22,0,0,0,1,1,0,0,0,2
254,西罗园一区 南北通透明厨明卫精装二居 诚意出售,320,57246,1,55.9,0,0,1,0,0.5,0,1,1,207,1,1,1,2,6,0,1,0,1,0,0,0,0,2
255,西罗园宝汇苑，业主变现，诚意出售，看房提前预约,500,67124,0,74.49,0,1,0,0,0.181818182,0,0,1,207,1,1,2,3,24,0,0,0,0,1,0,0,0,3
256,三环内西罗园一区东南向大客厅两居室业主诚意出售,443,56297,0,78.69,0,1,0,1,0.285714286,0,0,1,207,1,1,1,1,22,0,0,0,0,1,0,0,0,2
257,西罗园南里 半地下 价格优美 优质两居 费用少,218,44755,0,48.71,0,0,1,1,0.333333333,0,1,1,207,1,1,1,5,6,0,1,0,1,0,0,0,0,2
258,南三环边   正规的两居室   诚意出售   随时签约,368,51613,0,71.3,0,1,0,1,0.25,0,0,1,207,1,1,1,1,18,0,0,0,0,0,0,0,1,2
259,西罗园 洋桥 南三环 1996年代 万链精装 拎包入住,283,57673,0,49.07,0,1,0,0,0.181818182,0,0,1,207,1,1,1,0,18,0,1,0,0,0,0,0,0,1
260,采光好满五唯一双卧室朝南户型优质,380,58462,0,65,0,1,0,1,0.181818182,0,0,1,207,1,1,1,0,20,0,1,0,0,0,0,0,0,2
261,风格景园中间层无遮挡采光好西罗园二区26号楼,385,55309,0,69.61,0,2,0,1,0.214285714,0,0,1,207,1,1,1,0,14,0,0,0,0,0,0,1,0,1
262,南三环地铁口 得房率90% 低密度 高绿化板楼商品房小区,745,63372,1,117.56,0,0,1,1,0.5,0,1,1,207,1,1,1,4,6,0,1,0,1,0,0,0,0,3
263,南三环 洋桥 西罗园南里 全明格局2居室 电梯房,399,54161,0,73.67,0,1,0,0,0.25,0,0,1,207,1,1,1,0,21,0,0,0,1,0,0,1,0,2
264,西罗园南里  纯南向两居室  诚心出售,278,52652,0,52.8,0,0,2,0,0.333333333,0,1,1,207,0,1,1,0,6,0,1,0,0,0,0,0,0,2
265,产权证满五年 采光好 无遮挡 诚意出售 可随时签约,380,52198,0,72.8,0,1,0,1,0.285714286,0,0,1,207,1,1,1,1,18,0,0,0,0,0,0,1,0,2
266,西罗园南里 精装三居室 满五年 家庭一套 诚意出售,360,75267,1,47.83,0,0,1,0,0.25,0,1,1,207,1,1,1,5,6,0,1,0,1,0,0,0,0,3
267,大红门 木樨园 洋桥 西罗园 满五唯一优质两居室,285,52974,0,53.8,0,0,2,0,0.333333333,0,1,1,207,1,1,1,3,6,1,0,0,0,0,0,0,0,2
268,南三环内二环外木樨园西罗园二区南北通透两居室精装修,355,52069,0,68.18,0,2,0,0,0.125,0,0,1,207,1,1,1,0,14,0,1,0,1,0,0,0,0,2
269,南三环内 木樨园 南北通透三居室 明厨明卫,460,61745,0,74.5,0,0,1,1,0.333333333,0,1,1,207,1,1,1,4,6,0,1,0,1,0,0,0,0,3
270,西罗园二区南北通透挂东窗高楼层满五年唯一,499,56308,1,88.62,0,1,0,0,0.25,0,0,1,207,1,1,1,2,24,0,1,0,1,0,0,0,0,3
271,西罗园二区 南北通透 全明格局方正三居板楼,375,49538,0,75.7,0,0,1,0,0.333333333,0,1,1,207,1,1,1,3,6,0,1,0,1,0,0,0,0,3
272,西罗园 三环边 南向精装两居室 采光好 无遮挡,299,59091,0,50.6,0,0,1,0,0.333333333,0,1,1,207,1,1,1,3,6,0,1,0,0,0,0,0,0,2
273,西罗园洋桥封闭式管理正规两居带客厅,335,57462,0,58.3,0,1,0,0,0.285714286,0,0,1,207,1,1,1,1,18,0,0,0,0,0,0,0,1,2
274,西罗园电梯两居室，东南向，近地铁，采光棒，视野好,435,55281,0,78.69,0,1,0,0,0.285714286,0,0,1,207,1,1,1,0,24,0,0,0,0,1,0,0,0,2
275,西罗园 洋桥 马家堡 满五年唯一 精装修,448,76282,0,58.73,0,1,0,0,0.25,0,0,1,207,1,1,1,1,22,0,0,0,0,0,0,1,0,2
276,南北通透，低楼层，采光无遮挡，客厅可放沙发电视,315,58824,0,53.55,0,0,1,3,0.5,0,1,1,207,1,1,1,4,6,0,1,0,1,0,0,0,0,2
277,西罗园洋桥正规一居，中间楼层，无遮挡，诚意出售,239,50776,0,47.07,0,0,1,1,0.166666667,0,1,1,207,1,1,1,0,6,1,0,1,0,0,0,0,0,1
278,洋桥 西罗园 优质三居室 南北通透 双朝南 精装修,395,53596,0,73.7,0,0,2,0,0.5,0,1,1,207,1,1,1,3,6,0,1,0,1,0,0,0,0,3
279,西罗园洋桥南向全明格局两居，满五唯一随时看房,319,55191,0,57.8,0,0,1,1,0.333333333,0,1,1,207,1,1,1,3,5,0,1,0,0,0,0,0,0,2
280,洋桥西罗园马家堡精装修正规一居室，高楼层采光很好,330,57987,0,56.91,0,1,0,1,0.333333333,0,0,1,207,1,1,1,0,26,0,0,0,0,0,0,1,0,1
